phase,stimulus,correct_key,response,reaction_time,with_noise
training,square,z,True,0.5076911000069231,False
training,circle,m,True,0.3167139000725001,False
training,square,z,True,0.49821029999293387,False
training,circle,m,True,0.3379274000180885,False
training,square,z,True,0.38117159996181726,False
training,square,z,True,0.47303980006836355,False
training,square,z,True,0.43074949993751943,False
training,square,z,True,0.6020031999796629,False
training,circle,m,True,0.5332891000434756,False
training,circle,m,True,0.33192999998573214,False
testing,square,z,True,0.39037409995216876,True
testing,circle,m,True,0.3419532000552863,False
testing,square,z,True,0.34195330005604774,False
testing,square,z,True,0.3205326999304816,False
testing,circle,m,True,0.32034579990431666,True
testing,circle,m,True,0.3483627000823617,False
testing,circle,m,True,0.3018423999892548,True
testing,circle,m,True,0.35705450002569705,False
testing,circle,m,True,0.2865178999491036,True
testing,square,z,False,0.3616846000077203,True
testing,circle,m,True,0.29827329993713647,False
testing,circle,m,True,0.46456200000829995,True
testing,circle,m,True,0.2982712999219075,False
testing,circle,m,True,0.3017835000064224,False
testing,square,z,False,0.2940960000269115,True
testing,square,z,True,0.36185709992423654,True
testing,circle,m,True,0.32835339999292046,True
testing,square,z,True,0.3603932000696659,False
testing,circle,m,False,0.36269069998525083,True
testing,square,z,True,0.3310922000091523,True
testing,square,z,True,0.35346749995369464,False
testing,square,z,False,0.3260615000035614,False
testing,circle,m,True,0.3113762999419123,True
testing,square,z,True,0.38126549997832626,False
testing,circle,m,True,0.3089501999784261,False
testing,square,z,True,0.34661260002758354,False
testing,square,z,True,0.2781781000085175,True
testing,square,z,True,0.36096309998538345,False
testing,square,z,True,0.28049350006040186,False
testing,circle,m,True,0.24899919994641095,True
testing,square,z,True,0.2959580000024289,False
testing,square,z,True,0.28025670000351965,False
testing,circle,m,True,0.2726766000268981,True
testing,square,z,False,0.33651900000404567,False
testing,circle,m,True,0.3192516000708565,False
testing,square,z,True,0.29613010003231466,False
testing,circle,m,True,0.37698489998001605,False
testing,circle,m,True,0.31729459995403886,False
testing,circle,m,True,0.37477529991883785,True
testing,circle,m,True,0.41252039989922196,True
testing,circle,m,True,0.41814299998804927,False
testing,circle,m,True,0.34675020002759993,True
testing,circle,m,True,0.406675299978815,False
testing,square,z,False,0.2787308000260964,False
testing,square,z,True,0.4046771000139415,True
testing,square,z,True,0.4995019999332726,False
testing,circle,m,True,0.3087914999341592,False
testing,circle,m,True,0.3982231999980286,False
testing,square,z,True,0.3359147999435663,True
testing,circle,m,True,0.36249129998032004,False
testing,circle,m,True,0.2820383000653237,True
testing,circle,m,True,0.32523900002706796,True
testing,circle,m,True,0.2918063000543043,False
testing,circle,m,True,0.301222899928689,True
testing,square,z,True,0.4330248999176547,False
testing,square,z,True,0.42676750000100583,True
testing,circle,m,True,0.6836596999783069,False
testing,circle,m,True,0.2717675999738276,False
testing,circle,m,True,0.32302120001986623,False
testing,square,z,True,0.32810130005236715,False
testing,circle,m,True,0.28143059997819364,False
testing,square,z,True,0.46071639994625,True
testing,circle,m,True,0.25702040002215654,False
testing,square,z,True,0.33219389989972115,False
testing,circle,m,True,0.30144429998472333,False
testing,circle,m,True,0.3428371000336483,False
testing,square,z,True,0.3481015000725165,False
testing,square,z,True,0.342057199915871,True
testing,circle,m,True,0.39771839999593794,False
testing,square,z,True,0.2723254000302404,False
testing,circle,m,True,0.25311430008150637,True
testing,circle,m,True,0.3875433999346569,True
testing,square,z,True,0.36180850001983345,False
testing,square,z,False,0.41641410009469837,True
testing,square,z,True,0.33740259998012334,True
testing,square,z,True,0.36711120000109076,True
testing,square,z,True,0.3424276999430731,True
testing,square,z,True,0.34412290004547685,True
testing,square,z,True,0.35354249994270504,True
testing,square,z,True,0.36795350001193583,False
